Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
1,Spectrogram 1,1,3,6,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,3,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1129,,,,,
2,Spectrogram 1,1,21,24,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,21,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.2693,,,,,
3,Spectrogram 1,1,27,30,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,27,SMA06024_20250326_193100.wav,3,American Bittern,amebit,0.2837,0,,,,1
4,Spectrogram 1,1,27,30,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,27,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1434,1,RWBL,multiple,,1
5,Spectrogram 1,1,42,45,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,42,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1164,1,,,,1
6,Spectrogram 1,1,51,54,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,51,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.3078,,,,,
7,Spectrogram 1,1,72,75,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,72,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.3386,,,,,
8,Spectrogram 1,1,75,78,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,75,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1173,,,,,
9,Spectrogram 1,1,78,81,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,78,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1413,,,,,
10,Spectrogram 1,1,81,84,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,81,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1557,,,,,
11,Spectrogram 1,1,87,90,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,87,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.2995,,,,,
12,Spectrogram 1,1,90,93,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,90,SMA06024_20250326_193100.wav,3,Pied-billed Grebe,pibgre,0.1122,,,,,
13,Spectrogram 1,1,93,96,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,93,SMA06024_20250326_193100.wav,3,Least Bittern,leabit,0.1522,,,,,
14,Spectrogram 1,1,96,99,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,96,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.106,,,,,
15,Spectrogram 1,1,102,105,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,102,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.2698,,,,,
16,Spectrogram 1,1,105,108,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,105,SMA06024_20250326_193100.wav,3,Least Bittern,leabit,0.1747,,,,,
17,Spectrogram 1,1,108,111,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,108,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.2168,1,,,,1
18,Spectrogram 1,1,111,114,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,111,SMA06024_20250326_193100.wav,3,Least Bittern,leabit,0.1342,0,,,,1
19,Spectrogram 1,1,120,123,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,120,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.142,,,,,
20,Spectrogram 1,1,123,126,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,123,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1844,,,,,
21,Spectrogram 1,1,135,138,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,135,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1045,,,,,
22,Spectrogram 1,1,150,153,0,12000,E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav,150,SMA06024_20250326_193100.wav,3,Red-winged Blackbird,rewbla,0.1229,,,,,
