Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Delta Time (s)	Common Name	Species Code	Confidence	Verify	Label	Call Type	Notes	Done?
1	Spectrogram 1	1	3.000000000	6.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	3.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1129					
2	Spectrogram 1	1	21.000000000	24.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	21.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.2693					
3	Spectrogram 1	1	27.000000000	30.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	27.0000	SMA06024_20250326_193100.wav	3.0000	American Bittern	amebit	0.2837	0				1
4	Spectrogram 1	1	27.000000000	30.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	27.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1434	1	RWBL	multiple		1
5	Spectrogram 1	1	42.000000000	45.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	42.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1164	1				1
6	Spectrogram 1	1	51.000000000	54.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	51.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.3078					
7	Spectrogram 1	1	72.000000000	75.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	72.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.3386					
8	Spectrogram 1	1	75.000000000	78.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	75.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1173					
9	Spectrogram 1	1	78.000000000	81.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	78.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1413					
10	Spectrogram 1	1	81.000000000	84.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	81.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1557					
11	Spectrogram 1	1	87.000000000	90.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	87.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.2995					
12	Spectrogram 1	1	90.000000000	93.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	90.0000	SMA06024_20250326_193100.wav	3.0000	Pied-billed Grebe	pibgre	0.1122					
13	Spectrogram 1	1	93.000000000	96.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	93.0000	SMA06024_20250326_193100.wav	3.0000	Least Bittern	leabit	0.1522					
14	Spectrogram 1	1	96.000000000	99.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	96.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.1060					
15	Spectrogram 1	1	102.000000000	105.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	102.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.2698					
16	Spectrogram 1	1	105.000000000	108.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	105.0000	SMA06024_20250326_193100.wav	3.0000	Least Bittern	leabit	0.1747					
17	Spectrogram 1	1	108.000000000	111.000000000	0.000	12000.000	E:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\NorthLily1 SMA06024\NorthLily1Data20250326to20250707\SMA06024_20250326_193100.wav	108.0000	SMA06024_20250326_193100.wav	3.0000	Red-winged Blackbird	rewbla	0.2168	1				1
