Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
1,Spectrogram 1,1,0,3,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,0,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.1055,,,,,
2,Spectrogram 1,1,3,6,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,3,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.2886,,,,,
3,Spectrogram 1,1,3,6,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,3,2MA04668_20250414_195300.wav,3,Sora,sora,0.1341,,,,,
4,Spectrogram 1,1,9,12,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,9,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.4729,,,,,
5,Spectrogram 1,1,12,15,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,12,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.122,,,,,
6,Spectrogram 1,1,15,18,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,15,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.1771,,,,,
8,Spectrogram 1,1,18,21,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,18,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.1069,,,,,
9,Spectrogram 1,1,18,21,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,18,2MA04668_20250414_195300.wav,3,Common Gallinule,comgal1,0.106,,,,,
7,Spectrogram 1,1,18,21,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,18,2MA04668_20250414_195300.wav,3,Sora,sora,0.2007,,,,,
10,Spectrogram 1,1,21,24,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,21,2MA04668_20250414_195300.wav,3,Pied-billed Grebe,pibgre,0.4652,,,,,
11,Spectrogram 1,1,21,24,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,21,2MA04668_20250414_195300.wav,3,Virginia Rail,virrai,0.1088,,,,,
12,Spectrogram 1,1,30,33,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,30,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.349,,,,,
13,Spectrogram 1,1,30,33,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,30,2MA04668_20250414_195300.wav,3,Virginia Rail,virrai,0.1157,,,,,
14,Spectrogram 1,1,33,36,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,33,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.1013,,,,,
15,Spectrogram 1,1,39,42,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,39,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.1444,,,,,
16,Spectrogram 1,1,42,45,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,42,2MA04668_20250414_195300.wav,3,American Bittern,amebit,0.2147,,,,,
17,Spectrogram 1,1,42,45,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav,42,2MA04668_20250414_195300.wav,3,Sora,sora,0.1374,,,,,
