Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Delta Time (s)	Common Name	Species Code	Confidence	Verify	Label	Call Type	Notes	Done?
1	Spectrogram 1	1	0.000000000	3.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	0.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.1055					
2	Spectrogram 1	1	3.000000000	6.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	3.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.2886					
3	Spectrogram 1	1	3.000000000	6.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	3.0000	2MA04668_20250414_195300.wav	3.0000	Sora	sora	0.1341					
4	Spectrogram 1	1	9.000000000	12.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	9.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.4729					
5	Spectrogram 1	1	12.000000000	15.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	12.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.1220					
6	Spectrogram 1	1	15.000000000	18.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	15.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.1771					
8	Spectrogram 1	1	18.000000000	21.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	18.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.1069					
9	Spectrogram 1	1	18.000000000	21.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	18.0000	2MA04668_20250414_195300.wav	3.0000	Common Gallinule	comgal1	0.1060					
7	Spectrogram 1	1	18.000000000	21.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	18.0000	2MA04668_20250414_195300.wav	3.0000	Sora	sora	0.2007					
10	Spectrogram 1	1	21.000000000	24.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	21.0000	2MA04668_20250414_195300.wav	3.0000	Pied-billed Grebe	pibgre	0.4652					
11	Spectrogram 1	1	21.000000000	24.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	21.0000	2MA04668_20250414_195300.wav	3.0000	Virginia Rail	virrai	0.1088					
12	Spectrogram 1	1	30.000000000	33.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	30.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.3490					
13	Spectrogram 1	1	30.000000000	33.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	30.0000	2MA04668_20250414_195300.wav	3.0000	Virginia Rail	virrai	0.1157					
14	Spectrogram 1	1	33.000000000	36.000000000	0.000	12000.000	D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\SpringValley 2MA04668\SpringValleyData20250414to20250702\2MA04668_20250414_195300.wav	33.0000	2MA04668_20250414_195300.wav	3.0000	American Bittern	amebit	0.1013					
