Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
46,Spectrogram 1,1,5873.245632,5876.245632,1316.418,21282.09,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2274.1468,BIGM11_20240504_060002.wav,3,King Rail,,0.6461,1,KIRA,kek,Loud/clear recording,1
61,Spectrogram 1,1,5873.265837,5873.625173,2084.328,8227.612,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2274.1671,BIGM11_20240504_060002.wav,0.3593,Common Yellowthroat,,,1,COYE,,,
62,Spectrogram 1,1,5873.443655,5874.480741,1480.97,8666.418,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2274.3449,BIGM11_20240504_060002.wav,1.0371,Red-winged Blackbird,,,1,RWBL,conklaree,,
109,Spectrogram 1,1,5874.286953,5875.613658,3171.575,8986.13,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2275.1882,BIGM11_20240504_060002.wav,1.3267,Common Yellowthroat,,,1,COYE,,two birds?,
59,Spectrogram 1,1,5875.613658,5876.209931,3181.343,12341.418,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2276.5149,BIGM11_20240504_060002.wav,0.5963,Marsh Wren,,,1,MAWR,,,
108,Spectrogram 1,1,5876.277011,5879.288186,981.678,21294.863,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2277.1782,BIGM11_20240504_060002.wav,3.0112,King Rail,,,1,KIRA,kek,,1
63,Spectrogram 1,1,5876.438698,5877.245953,1316.418,6746.642,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2277.3399,BIGM11_20240504_060002.wav,0.8073,Red-winged Blackbird,,,1,RWBL,conklaree,,
111,Spectrogram 1,1,5876.568329,5879.219316,0,3031.132,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2277.4695,BIGM11_20240504_060002.wav,2.651,Canada Goose,,,1,CAGO,,,
110,Spectrogram 1,1,5877.158608,5878.275923,2793.396,8261.321,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2278.0598,BIGM11_20240504_060002.wav,1.1173,,,,1,NT,,,
64,Spectrogram 1,1,5877.701454,5879.301728,2577.985,11518.657,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2278.6027,BIGM11_20240504_060002.wav,1.6003,,,,1,RWBL,twitter,,
47,Spectrogram 1,1,11999.49137,12002.49137,0,14196.575,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav,1206.2005,BIGM12_20240505_070002.wav,3,King Rail,,0.7673,1,KIRA,kek,Appears to be two calling at once,1
