Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Delta Time (s)	CommonName	Species Code	Confidence	Verify	Label	Call Type	Notes	Done?
46	Spectrogram 1	1	5873.245632000	5876.245632000	1316.418	21282.090	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2274.1468	BIGM11_20240504_060002.wav	3.0000	King Rail		0.6461	1	KIRA	kek	Loud/clear recording	1
61	Spectrogram 1	1	5873.265836791	5873.625173000	2084.328	8227.612	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2274.1671	BIGM11_20240504_060002.wav	0.3593	Common Yellowthroat			1	COYE			
62	Spectrogram 1	1	5873.443655000	5874.480741328	1480.970	8666.418	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2274.3449	BIGM11_20240504_060002.wav	1.0371	Red-winged Blackbird			1	RWBL	conklaree		
109	Spectrogram 1	1	5874.286952874	5875.613658441	3171.575	8986.130	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2275.1882	BIGM11_20240504_060002.wav	1.3267	Common Yellowthroat			1	COYE		two birds?	
59	Spectrogram 1	1	5875.613658441	5876.209930607	3181.343	12341.418	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2276.5149	BIGM11_20240504_060002.wav	0.5963	Marsh Wren			1	MAWR			
108	Spectrogram 1	1	5876.277011225	5879.288185659	981.678	21294.863	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2277.1782	BIGM11_20240504_060002.wav	3.0112	King Rail			1	KIRA	kek		1
63	Spectrogram 1	1	5876.438698000	5877.245953494	1316.418	6746.642	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2277.3399	BIGM11_20240504_060002.wav	0.8073	Red-winged Blackbird			1	RWBL	conklaree		
111	Spectrogram 1	1	5876.568328944	5879.219315569	0.000	3031.132	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2277.4695	BIGM11_20240504_060002.wav	2.6510	Canada Goose			1	CAGO			
110	Spectrogram 1	1	5877.158608272	5878.275922715	2793.396	8261.321	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2278.0598	BIGM11_20240504_060002.wav	1.1173				1	NT			
64	Spectrogram 1	1	5877.701454440	5879.301728000	2577.985	11518.657	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav	2278.6027	BIGM11_20240504_060002.wav	1.6003				1	RWBL	twitter		
47	Spectrogram 1	1	11999.491370000	12002.491370000	0.000	14196.575	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1206.2005	BIGM12_20240505_070002.wav	3.0000	King Rail		0.7673	1	KIRA	kek	Appears to be two calling at once	1
66	Spectrogram 1	1	11999.567710000	12001.465390000	3291.045	8227.612	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1206.2768	BIGM12_20240505_070002.wav	1.8977	Yellow Warbler			1	YEWA			
106	Spectrogram 1	1	12001.235603273	12002.390880593	0.000	2718.493	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1207.9447	BIGM12_20240505_070002.wav	1.1553					Noise		machine beeps	
105	Spectrogram 1	1	12002.525041830	12005.525041830	0.000	14196.575	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1209.2341	BIGM12_20240505_070002.wav	3.0000	King Rail			1	KIRA	kek	two KIRAs?	1
68	Spectrogram 1	1	12002.711260000	12003.610600000	0.000	4228.767	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1209.4204	BIGM12_20240505_070002.wav	0.8993	Canada Goose			1	CAGO			
67	Spectrogram 1	1	12003.932380000	12005.290253996	3729.851	8995.522	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1210.6415	BIGM12_20240505_070002.wav	1.3579	Yellow Warbler			1	YEWA			
69	Spectrogram 1	1	12004.089150000	12004.542940000	0.000	1590.672	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1210.7983	BIGM12_20240505_070002.wav	0.4538				1	Noise		Anthroprogenic Noise	
107	Spectrogram 1	1	12005.526901727	12008.526901727	0.000	14347.603	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1212.2360	BIGM12_20240505_070002.wav	3.0000	King Rail			1	KIRA	kek	two kIRAs?	1
65	Spectrogram 1	1	12005.681550000	12008.008280000	987.313	1755.224	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1212.3907	BIGM12_20240505_070002.wav	2.3267				1	Noise		Anthroprogenic Noise	
177	Spectrogram 1	1	12007.951126618	12008.525038577	400.909	3908.864	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav	1214.6602	BIGM12_20240505_070002.wav	0.5739	Red-winged Blackbird			1	RWBL	conklaree		
112	Spectrogram 1	1	14974.357278912	14977.357278912	0.000	15393.396	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	583.9703	BIGM12_20240511_080002.wav	3.0000	King Rail			1	KIRA	kek		1
180	Spectrogram 1	1	14974.374063239	14975.208844270	551.250	4861.023	E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240511_080002.wav	583.9871	BIGM12_20240511_080002.wav	0.8348	Red-winged Blackbird			1	RWBL	conklaree		
