Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
251,Spectrogram 1,1,1106.5419,1116.3848,0,22050,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1106.5419,SMA05956GRAS_20240518_070002.wav,9.8429,King Rail,,0.3147,1,,,burr sound,
321,Spectrogram 1,1,6932.971093,6935.971093,681.959,13411.856,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav,3335.875,SMA05956GRAS_20240603_050000.wav,3,King Rail,,0.3121,1,KIRA,kek,"Repeated ""kek"" call",1
334,Spectrogram 1,1,6936.820989,6939.820989,0,17201.657,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav,3339.7249,SMA05956GRAS_20240603_050000.wav,3,King Rail,,,1,KIRA,kek,,1
326,Spectrogram 1,1,6944.729836,6947.729836,0,16006.175,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav,3347.6338,SMA05956GRAS_20240603_050000.wav,3,King Rail,,,1,,,kek-burr,1
344,Spectrogram 1,1,6947.781388,6950.781388,0,17732.982,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav,3350.6853,SMA05956GRAS_20240603_050000.wav,3,King Rail,,,1,KIRA,kek burr,,1
347,Spectrogram 1,1,6950.839156,6953.291325,0,17932.229,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav,3353.7431,SMA05956GRAS_20240603_050000.wav,2.4522,King Rail,,,1,KIRA,kek burr,,1
298,Spectrogram 1,1,417.5197,420.1269578,1619.787,8464.692,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,417.5197,SMA05956GRAS_20240518_070002.wav,2.6073,Marsh Wren,,,,,,,
297,Spectrogram 1,1,418.9553,435.8034657,1045.024,13720,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,418.9553,SMA05956GRAS_20240518_070002.wav,16.8482,King Rail,,0.4383,,,,"Repeated ""burr"" calls",
250,Spectrogram 1,1,420.0157,434.8586,0,22050,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,420.0157,SMA05956GRAS_20240518_070002.wav,14.8429,King Rail,,0.4383,1,,,burr sounds,
302,Spectrogram 1,1,420.754,423.0972317,2717.062,9248.46,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,420.754,SMA05956GRAS_20240518_070002.wav,2.3432,Marsh Wren,,,,,,,
299,Spectrogram 1,1,423.4768,426.3810871,1619.787,10084.479,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,423.4768,SMA05956GRAS_20240518_070002.wav,2.9043,Marsh Wren,,,,,,,
300,Spectrogram 1,1,427.1401,428.6087452,1724.289,7001.659,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,427.1401,SMA05956GRAS_20240518_070002.wav,1.4686,Red-Winged Blackbird,,,,,,,
301,Spectrogram 1,1,428.6418,432.5691883,2769.313,9352.962,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,428.6418,SMA05956GRAS_20240518_070002.wav,3.9274,Marsh Wren,,,,,,,
303,Spectrogram 1,1,433.3117,434.0542734,1724.289,9666.469,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,433.3117,SMA05956GRAS_20240518_070002.wav,0.7426,Red-winged Blackbird,,,,,,,
304,Spectrogram 1,1,435.5724,436.645006,1724.289,15623.104,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,435.5724,SMA05956GRAS_20240518_070002.wav,1.0726,Red-winged Blackbird,,,,,,,
305,Spectrogram 1,1,1086.834643,1129.615152,1094.084,10351.718,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1086.8346,SMA05956GRAS_20240518_070002.wav,42.7805,King Rail,,0.3147,,,,"Repeated ""burr"" calls",
306,Spectrogram 1,1,1088.237283,1088.856094,2777.29,8163.55,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1088.2373,SMA05956GRAS_20240518_070002.wav,0.6188,Red-winged Blackbird,,,,,,,
307,Spectrogram 1,1,1090.547513,1091.372595,2356.489,6480.344,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1090.5475,SMA05956GRAS_20240518_070002.wav,0.8251,Red-winged Blackbird,,,,,,,
308,Spectrogram 1,1,1094.631669,1095.415497,2693.13,9257.634,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1094.6317,SMA05956GRAS_20240518_070002.wav,0.7838,Red-winged Blackbird,,,,,,,
309,Spectrogram 1,1,1095.74553,1097.065661,1094.084,8500.191,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1095.7455,SMA05956GRAS_20240518_070002.wav,1.3201,Marsh Wren,,,,,,,
311,Spectrogram 1,1,1097.35444,1101.314834,0,1430.725,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1097.3544,SMA05956GRAS_20240518_070002.wav,3.9604,,,,,Noise,,train horn,
310,Spectrogram 1,1,1098.75708,1100.654769,1262.405,7490.267,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1098.7571,SMA05956GRAS_20240518_070002.wav,1.8977,Red-winged Blackbird,,,,,,,
313,Spectrogram 1,1,1102.263679,1103.58381,1346.565,8079.389,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1102.2637,SMA05956GRAS_20240518_070002.wav,1.3201,Marsh Wren,,,,,,,
312,Spectrogram 1,1,1104.780179,1113.154763,0,1094.084,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1104.7802,SMA05956GRAS_20240518_070002.wav,8.3746,,,,,Noise,,train horn,
314,Spectrogram 1,1,1110.30823,1111.669615,1851.527,8331.87,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1110.3082,SMA05956GRAS_20240518_070002.wav,1.3614,Multiple Species,,,,,,Marsh Wren & Red-winged Blackbird calls,
315,Spectrogram 1,1,1112.329681,1113.319779,1430.725,6396.183,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1112.3297,SMA05956GRAS_20240518_070002.wav,0.9901,Red-winged Blackbird,,,,,,,
316,Spectrogram 1,1,1115.382485,1118.064002,2777.29,9005.153,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1115.3825,SMA05956GRAS_20240518_070002.wav,2.6815,Marsh Wren,,,,,,,
317,Spectrogram 1,1,1117.651461,1118.889084,1094.084,9005.153,E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav,1117.6515,SMA05956GRAS_20240518_070002.wav,1.2376,Red-winged Blackbird,,,,,,,
