Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Delta Time (s)	CommonName	Species Code	Confidence	Verify	Label	Call Type	Notes	Done?
251	Spectrogram 1	1	1106.541900000	1116.384800000	0.000	22050.000	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1106.5419	SMA05956GRAS_20240518_070002.wav	9.8429	King Rail		0.3147	1			burr sound	
321	Spectrogram 1	1	6932.971093412	6935.971093412	681.959	13411.856	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav	3335.8750	SMA05956GRAS_20240603_050000.wav	3.0000	King Rail		0.3121	1	KIRA	kek	Repeated "kek" call	1
334	Spectrogram 1	1	6936.820989449	6939.820989449	0.000	17201.657	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav	3339.7249	SMA05956GRAS_20240603_050000.wav	3.0000	King Rail			1	KIRA	kek		1
326	Spectrogram 1	1	6944.729836256	6947.729836256	0.000	16006.175	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav	3347.6338	SMA05956GRAS_20240603_050000.wav	3.0000	King Rail			1			"kek-burr"	1
344	Spectrogram 1	1	6947.781388009	6950.781388009	0.000	17732.982	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav	3350.6853	SMA05956GRAS_20240603_050000.wav	3.0000	King Rail			1	KIRA	kek burr		1
347	Spectrogram 1	1	6950.839155589	6953.291324869	0.000	17932.229	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240603_050000.wav	3353.7431	SMA05956GRAS_20240603_050000.wav	2.4522	King Rail			1	KIRA	kek burr		1
298	Spectrogram 1	1	417.519700000	420.126957770	1619.787	8464.692	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	417.5197	SMA05956GRAS_20240518_070002.wav	2.6073	Marsh Wren							
297	Spectrogram 1	1	418.955300000	435.803465716	1045.024	13720.000	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	418.9553	SMA05956GRAS_20240518_070002.wav	16.8482	King Rail		0.4383				Repeated "burr" calls	
250	Spectrogram 1	1	420.015700000	434.858600000	0.000	22050.000	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	420.0157	SMA05956GRAS_20240518_070002.wav	14.8429	King Rail		0.4383	1			burr sounds	
302	Spectrogram 1	1	420.754000000	423.097231666	2717.062	9248.460	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	420.7540	SMA05956GRAS_20240518_070002.wav	2.3432	Marsh Wren							
299	Spectrogram 1	1	423.476800000	426.381087136	1619.787	10084.479	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	423.4768	SMA05956GRAS_20240518_070002.wav	2.9043	Marsh Wren							
300	Spectrogram 1	1	427.140100000	428.608745200	1724.289	7001.659	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	427.1401	SMA05956GRAS_20240518_070002.wav	1.4686	Red-Winged Blackbird							
301	Spectrogram 1	1	428.641800000	432.569188287	2769.313	9352.962	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	428.6418	SMA05956GRAS_20240518_070002.wav	3.9274	Marsh Wren							
303	Spectrogram 1	1	433.311700000	434.054273416	1724.289	9666.469	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	433.3117	SMA05956GRAS_20240518_070002.wav	0.7426	Red-winged Blackbird							
304	Spectrogram 1	1	435.572400000	436.645006044	1724.289	15623.104	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	435.5724	SMA05956GRAS_20240518_070002.wav	1.0726	Red-winged Blackbird							
305	Spectrogram 1	1	1086.834642969	1129.615151621	1094.084	10351.718	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1086.8346	SMA05956GRAS_20240518_070002.wav	42.7805	King Rail		0.3147				Repeated "burr" calls	
306	Spectrogram 1	1	1088.237282597	1088.856094198	2777.290	8163.550	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1088.2373	SMA05956GRAS_20240518_070002.wav	0.6188	Red-winged Blackbird							
307	Spectrogram 1	1	1090.547512573	1091.372594707	2356.489	6480.344	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1090.5475	SMA05956GRAS_20240518_070002.wav	0.8251	Red-winged Blackbird							
308	Spectrogram 1	1	1094.631669136	1095.415497164	2693.130	9257.634	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1094.6317	SMA05956GRAS_20240518_070002.wav	0.7838	Red-winged Blackbird							
309	Spectrogram 1	1	1095.745530017	1097.065661432	1094.084	8500.191	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1095.7455	SMA05956GRAS_20240518_070002.wav	1.3201	Marsh Wren							
311	Spectrogram 1	1	1097.354440179	1101.314834422	0.000	1430.725	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1097.3544	SMA05956GRAS_20240518_070002.wav	3.9604					Noise		train horn	
310	Spectrogram 1	1	1098.757079807	1100.654768715	1262.405	7490.267	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1098.7571	SMA05956GRAS_20240518_070002.wav	1.8977	Red-winged Blackbird							
313	Spectrogram 1	1	1102.263678876	1103.583810291	1346.565	8079.389	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1102.2637	SMA05956GRAS_20240518_070002.wav	1.3201	Marsh Wren							
312	Spectrogram 1	1	1104.780179385	1113.154763046	0.000	1094.084	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1104.7802	SMA05956GRAS_20240518_070002.wav	8.3746					Noise		train horn	
314	Spectrogram 1	1	1110.308229684	1111.669615205	1851.527	8331.870	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1110.3082	SMA05956GRAS_20240518_070002.wav	1.3614	Multiple Species						Marsh Wren & Red-winged Blackbird calls	
315	Spectrogram 1	1	1112.329680912	1113.319779473	1430.725	6396.183	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1112.3297	SMA05956GRAS_20240518_070002.wav	0.9901	Red-winged Blackbird							
316	Spectrogram 1	1	1115.382484808	1118.064001744	2777.290	9005.153	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1115.3825	SMA05956GRAS_20240518_070002.wav	2.6815	Marsh Wren							
317	Spectrogram 1	1	1117.651460677	1118.889083878	1094.084	9005.153	E:\2025 King Rail Project\AGL ARU Data\Audio\GRAS 20240518 to 20240603\SMA05956GRAS_20240518_070002.wav	1117.6515	SMA05956GRAS_20240518_070002.wav	1.2376	Red-winged Blackbird							
