Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?,source_file
1,Spectrogram 1,1,0.0,3.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,0.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3228,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
2,Spectrogram 1,1,3.0,6.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,3.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7271,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
3,Spectrogram 1,1,6.0,9.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,6.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8019,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
4,Spectrogram 1,1,9.0,12.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,9.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.9007,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
5,Spectrogram 1,1,12.0,15.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,12.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.9489,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
6,Spectrogram 1,1,15.0,18.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,15.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7975,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
8,Spectrogram 1,1,21.0,24.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,21.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3904,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
10,Spectrogram 1,1,24.0,27.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,24.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4037,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
11,Spectrogram 1,1,27.0,30.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,27.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3423,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
12,Spectrogram 1,1,30.0,33.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,30.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7398,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
13,Spectrogram 1,1,33.0,36.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,33.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5328,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
14,Spectrogram 1,1,33.0,36.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,33.0,MINI06_20250410_050000.wav,3.0,Least Bittern,leabit,0.1722,0,,,,1.0,BirdNet_Choctaw_Annotations_final.csv
15,Spectrogram 1,1,36.0,39.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,36.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2907,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
16,Spectrogram 1,1,39.0,42.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,39.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.547,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
17,Spectrogram 1,1,42.0,45.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,42.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5684,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
18,Spectrogram 1,1,45.0,48.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,45.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7259,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
19,Spectrogram 1,1,48.0,51.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,48.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8866,1,KIRA,kek,clean,1.0,BirdNet_Choctaw_Annotations_final.csv
20,Spectrogram 1,1,51.0,54.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,51.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5955,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
21,Spectrogram 1,1,54.0,57.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,54.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4674,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
22,Spectrogram 1,1,57.0,60.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,57.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7556,1,KIRA,kek,clean,1.0,BirdNet_Choctaw_Annotations_final.csv
24,Spectrogram 1,1,63.0,66.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,63.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4382,1,KIRA,kek,clean,1.0,BirdNet_Choctaw_Annotations_final.csv
28,Spectrogram 1,1,75.0,78.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,75.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6903,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
29,Spectrogram 1,1,78.0,81.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,78.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.5821,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
30,Spectrogram 1,1,81.0,84.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,81.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8145,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
31,Spectrogram 1,1,84.0,87.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,84.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.773,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
32,Spectrogram 1,1,87.0,90.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,87.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6029,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
33,Spectrogram 1,1,90.0,93.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,90.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4912,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
34,Spectrogram 1,1,93.0,96.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,93.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6049,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
35,Spectrogram 1,1,96.0,99.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,96.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.7719,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
36,Spectrogram 1,1,99.0,102.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,99.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8407,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
37,Spectrogram 1,1,105.0,108.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,105.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3139,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
38,Spectrogram 1,1,108.0,111.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,108.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2729,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
39,Spectrogram 1,1,111.0,114.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,111.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.4725,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
41,Spectrogram 1,1,117.0,120.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,117.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.3732,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
42,Spectrogram 1,1,120.0,123.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,120.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6402,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
43,Spectrogram 1,1,123.0,126.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,123.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.2965,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
44,Spectrogram 1,1,126.0,129.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,126.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.6582,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
45,Spectrogram 1,1,129.0,132.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,129.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8295,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
46,Spectrogram 1,1,132.0,135.0,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250410_050000.wav,132.0,MINI06_20250410_050000.wav,3.0,King Rail,kinrai4,0.8405,1,KIRA,kek,,1.0,BirdNet_Choctaw_Annotations_final.csv
