Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
302,Spectrogram 1,1,5676,5679,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250416_063100.wav,2076,2MA08068_20250416_063100.wav,3,King Rail,kinrai4,0.1351,0,,,,0
303,Spectrogram 1,1,5679,5682,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250416_063100.wav,2079,2MA08068_20250416_063100.wav,3,King Rail,kinrai4,0.2552,0,,,,0
304,Spectrogram 1,1,5679,5682,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250416_063100.wav,2079,2MA08068_20250416_063100.wav,3,Red-winged Blackbird,rewbla,0.149,1,RWBL,check,,0
305,Spectrogram 1,1,5682,5685,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250416_063100.wav,2082,2MA08068_20250416_063100.wav,3,King Rail,kinrai4,0.4329,0,,,,0
1277,Spectrogram 1,1,16392,16395,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250418_062800.wav,792,2MA08068_20250418_062800.wav,3,Virginia Rail,virrai,0.3483,0,,,,0
1640,Spectrogram 1,1,22227,22230,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250419_062700.wav,627,2MA08068_20250419_062700.wav,3,Red-winged Blackbird,rewbla,0.4005,1,RWBL,jeer,,0
2028,Spectrogram 1,1,23763,23766,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250419_062700.wav,2163,2MA08068_20250419_062700.wav,3,American Bittern,amebit,0.5093,0,,,lots of RWBL,0
2655,Spectrogram 1,1,29046,29049,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250420_062500.wav,1446,2MA08068_20250420_062500.wav,3,Least Bittern,leabit,0.2882,0,,,goose,0
2656,Spectrogram 1,1,29046,29049,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250420_062500.wav,1446,2MA08068_20250420_062500.wav,3,King Rail,kinrai4,0.1029,0,,,,0
2849,Spectrogram 1,1,30204,30207,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250420_195900.wav,204,2MA08068_20250420_195900.wav,3,Red-winged Blackbird,rewbla,0.2143,1,RWBL,,,0
3313,Spectrogram 1,1,35406,35409,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250421_062400.wav,1806,2MA08068_20250421_062400.wav,3,King Rail,kinrai4,0.6887,0,,,,0
3314,Spectrogram 1,1,35406,35409,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250421_062400.wav,1806,2MA08068_20250421_062400.wav,3,Red-winged Blackbird,rewbla,0.1345,1,RWBB,check,,0
4198,Spectrogram 1,1,43353,43356,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250422_200100.wav,1353,2MA08068_20250422_200100.wav,3,Red-winged Blackbird,rewbla,0.8614,1,,,,0
8616,Spectrogram 1,1,76896,76899,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250428_061400.wav,1296,2MA08068_20250428_061400.wav,3,Least Bittern,leabit,0.5082,0,,,,0
8617,Spectrogram 1,1,76896.02138,76899,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250428_061400.wav,1296.0214,2MA08068_20250428_061400.wav,2.9786,Virginia Rail,virrai,0.4496,0,,,,0
8618,Spectrogram 1,1,76896,76899,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250428_061400.wav,1296,2MA08068_20250428_061400.wav,3,Sora,sora,0.3938,0,,,,0
8619,Spectrogram 1,1,76896,76899,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250428_061400.wav,1296,2MA08068_20250428_061400.wav,3,American Bittern,amebit,0.1266,0,,,,0
10472,Spectrogram 1,1,90249,90252,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250430_201000.wav,249,2MA08068_20250430_201000.wav,3,Red-winged Blackbird,rewbla,0.1161,1,RWBL,jenk,,0
10795,Spectrogram 1,1,91791,91794,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250430_201000.wav,1791,2MA08068_20250430_201000.wav,3,King Rail,kinrai4,0.4474,0,,,,0
10796,Spectrogram 1,1,91791,91794,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250430_201000.wav,1791,2MA08068_20250430_201000.wav,3,Red-winged Blackbird,rewbla,0.1127,1,RWBL,check,,0
12515,Spectrogram 1,1,103704,103707,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250502_201200.wav,1704,2MA08068_20250502_201200.wav,3,Red-winged Blackbird,rewbla,0.7693,1,RWBL,jeer,,0
13620,Spectrogram 1,1,118278,118281,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250505_060400.wav,678,2MA08068_20250505_060400.wav,3,Virginia Rail,virrai,0.3722,0,,,,0
13621,Spectrogram 1,1,118278,118281,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250505_060400.wav,678,2MA08068_20250505_060400.wav,3,Swamp Sparrow,swaspa,0.1185,U,,,,0
16419,Spectrogram 1,1,134274,134277,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250507_201800.wav,2274,2MA08068_20250507_201800.wav,3,Red-winged Blackbird,rewbla,0.1054,1,RWBL,jeer,,0
16746,Spectrogram 1,1,138531,138534,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250508_201900.wav,531,2MA08068_20250508_201900.wav,3,King Rail,kinrai4,0.6433,0,,,,0
17143,Spectrogram 1,1,142320,142323,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250509_060000.wav,720,2MA08068_20250509_060000.wav,3,Red-winged Blackbird,rewbla,0.3698,1,,,,0
17356,Spectrogram 1,1,143214,143217,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250509_060000.wav,1614,2MA08068_20250509_060000.wav,3,King Rail,kinrai4,0.2849,0,,,,0
17357,Spectrogram 1,1,143214,143217,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250509_060000.wav,1614,2MA08068_20250509_060000.wav,3,Least Bittern,leabit,0.2741,0,,,,0
19358,Spectrogram 1,1,157311,157314,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250511_202200.wav,1311,2MA08068_20250511_202200.wav,3,Least Bittern,leabit,0.6532,0,,,trus?,0
19359,Spectrogram 1,1,157311,157314,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250511_202200.wav,1311,2MA08068_20250511_202200.wav,3,Pied-billed Grebe,pibgre,0.104,0,,,,0
22403,Spectrogram 1,1,176238,176241,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250514_202500.wav,2238,2MA08068_20250514_202500.wav,3,King Rail,kinrai4,0.6277,0,,,,0
22404,Spectrogram 1,1,176238,176241,0,12000,D:\2025 King Rail Project\2025 ARU Data Annotated For King Rail Project\Howard5 2MA08068\Howard5Data20250415to20250710\2MA08068_20250514_202500.wav,2238,2MA08068_20250514_202500.wav,3,Red-winged Blackbird,rewbla,0.1038,1,RWBB,check,,0
