Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?
46,Spectrogram 1,1,5873.245632,5876.245632,1316.418,21282.09,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM11_20240504_060002.wav,2274.1468,BIGM11_20240504_060002.wav,3,King Rail,,0.6461,1,KIRA,kek,Loud/clear recording,1
47,Spectrogram 1,1,11999.49137,12002.49137,0,14196.575,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav,1206.2005,BIGM12_20240505_070002.wav,3,King Rail,,0.7673,1,KIRA,kek,Appears to be two calling at once,1
49,Spectrogram 1,1,16772.65542,16775.65542,0,15215.094,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240514_080002.wav,584.7189,BIGM12_20240514_080002.wav,3,King Rail,,0.6343,1,KIRA,kek,More faint,1
50,Spectrogram 1,1,18909.67174,18912.67174,0,17057.547,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240515_070002.wav,924.1857,BIGM12_20240515_070002.wav,3,King Rail,,0.5346,1,KIRA,kek,More faint,1
51,Spectrogram 1,1,25137.7678,25140.7678,0,14561.321,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240530_070002.wav,3555.1857,BIGM12_20240530_070002.wav,3,King Rail,,0.4707,1,KIRA,kek,More faint,1
52,Spectrogram 1,1,28551.89108,28554.89108,658.209,12421.698,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240602_060002.wav,3372.2129,BIGM12_20240602_060002.wav,3,King Rail,,0.4773,1,KIRA,kek,More faint and has decent background noise,1
93,Spectrogram 1,1,45306.29695,45309.29695,0,10103.774,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240516_070002.wav,341.5862,BIGM14_20240516_070002.wav,3,Marsh Wren,,,1,MAWR,,,1
99,Spectrogram 1,1,59182.74931,59185.74931,0,21775.746,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240615_060002.wav,3426.7504,BIGM14_20240615_060002.wav,3,Red-winged Blackbird,,,1,RWBL,jeer,,1
100,Spectrogram 1,1,59178.48365,59181.49519,0,21720.896,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM14_20240615_060002.wav,3422.4847,BIGM14_20240615_060002.wav,3.0115,Red-winged Blackbird,,,1,RWBL,jeer,,1
105,Spectrogram 1,1,12002.52504,12005.52504,0,14196.575,E:\2025 King Rail Project\AGL ARU Data\Audio\BigMarsh 20240503 to 20240615\BIGM12_20240505_070002.wav,1209.2341,BIGM12_20240505_070002.wav,3,King Rail,,,1,KIRA,kek,two KIRAs?,1
