Selection,View,Channel,Begin Time (s),End Time (s),Low Freq (Hz),High Freq (Hz),Begin Path,File Offset (s),Begin File,Delta Time (s),Common Name,Species Code,Confidence,Verify,Label,Call Type,Notes,Done?,source_file
220721,Spectrogram 1,1,697279.9465,697282.9465,0.0,11833.333,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250505_120002.wav,2837.9465,MINI06_20250505_120002.wav,3.0,,,,,Background Noise,,12p 5/5,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220722,Spectrogram 1,1,699987.2345,699990.2345,0.0,11875.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250505_130002.wav,1947.2345,MINI06_20250505_130002.wav,3.0,,,,,Background Noise,,1p 5/5,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220723,Spectrogram 1,1,701700.6585,701703.6585,0.0,11875.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250505_140002.wav,62.6585,MINI06_20250505_140002.wav,3.0,,,,,Background Noise,,2p 5/5,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220724,Spectrogram 1,1,705896.7682,705899.7682,0.0,11916.667,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250505_150002.wav,660.7682,MINI06_20250505_150002.wav,3.0,,,,,Background Noise,,3p 5/5,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220725,Spectrogram 1,1,706069.9573,706072.9573,0.0,11916.667,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250505_150002.wav,833.9573,MINI06_20250505_150002.wav,3.0,,,,,Background Noise,,3p 5/5,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220726,Spectrogram 1,1,831406.9321,831409.9321,0.0,11791.667,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250513_050000.wav,236.9321,MINI06_20250513_050000.wav,3.0,,,,,Background Noise,,5p 5/13,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220729,Spectrogram 1,1,845108.6179,845111.6179,0.0,11791.667,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250513_080002.wav,3142.6179,MINI06_20250513_080002.wav,3.0,,,,,Background Noise,,8p 5/13,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220730,Spectrogram 1,1,851297.7422,851300.7422,125.0,11791.667,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250513_100002.wav,2135.7422,MINI06_20250513_100002.wav,3.0,,,,,Background Noise,,10p 5/13,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220733,Spectrogram 1,1,855742.3074,855745.3074,0.0,11875.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250513_110002.wav,2982.3074,MINI06_20250513_110002.wav,3.0,,,,,Background Noise,,11p 5/13,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220736,Spectrogram 1,1,697274.4105,697277.4105,0.0,11963.746,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250505_120002.wav,2832.4105,MINI06_20250505_120002.wav,3.0,,,,,Background Noise,,12p 5/5,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220737,Spectrogram 1,1,1176594.412,1176597.412,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250525_160002.wav,4.4124,MINI06_20250525_160002.wav,3.0,,,,,Background Noise,,4p 5/25,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220738,Spectrogram 1,1,723228.0571,723231.0571,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250506_050000.wav,2.0571,MINI06_20250506_050000.wav,3.0,,,,,Background Noise,,5a 5/6 cricket frogs,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
220739,Spectrogram 1,1,1075855.923,1075858.923,0.0,12000.0,E:\2025 King Rail Project\Choctaw_WMA_2025 Data\MINI06_20250523_180002.wav,13.923,MINI06_20250523_180002.wav,3.0,,,,,Background Noise,,6p 5/23,2.0,BirdNET_SelectionTable_Choctaw_AnnotatedRMKMJS20260419withnegatives20260421.csv
