audio_subdir,file,labels
audio,MINI06_20250410_050000_0.0000s_3.0000s.wav,King Rail
audio,MINI06_20250410_050000_3.0000s_6.0000s.wav,King Rail
audio,MINI06_20250410_050000_6.0000s_9.0000s.wav,King Rail
audio,MINI06_20250410_050000_9.0000s_12.0000s.wav,King Rail
audio,MINI06_20250410_050000_12.0000s_15.0000s.wav,King Rail
audio,MINI06_20250410_050000_15.0000s_18.0000s.wav,King Rail
audio,MINI06_20250410_050000_21.0000s_24.0000s.wav,King Rail
audio,MINI06_20250410_050000_24.0000s_27.0000s.wav,King Rail
audio,MINI06_20250410_050000_27.0000s_30.0000s.wav,King Rail
audio,MINI06_20250410_050000_30.0000s_33.0000s.wav,King Rail
audio,MINI06_20250410_050000_33.0000s_36.0000s.wav,"King Rail, Least Bittern"
audio,MINI06_20250410_050000_36.0000s_39.0000s.wav,King Rail
audio,MINI06_20250410_050000_39.0000s_42.0000s.wav,King Rail
audio,MINI06_20250410_050000_42.0000s_45.0000s.wav,King Rail
audio,MINI06_20250410_050000_45.0000s_48.0000s.wav,King Rail
audio,MINI06_20250410_050000_48.0000s_51.0000s.wav,King Rail
audio,MINI06_20250410_050000_51.0000s_54.0000s.wav,King Rail
audio,MINI06_20250410_050000_54.0000s_57.0000s.wav,King Rail
audio,MINI06_20250410_050000_57.0000s_60.0000s.wav,King Rail
audio,MINI06_20250410_050000_63.0000s_66.0000s.wav,King Rail
audio,MINI06_20250410_050000_75.0000s_78.0000s.wav,King Rail
audio,MINI06_20250410_050000_78.0000s_81.0000s.wav,King Rail
audio,MINI06_20250410_050000_81.0000s_84.0000s.wav,King Rail
audio,MINI06_20250410_050000_84.0000s_87.0000s.wav,King Rail
audio,MINI06_20250410_050000_87.0000s_90.0000s.wav,King Rail
audio,MINI06_20250410_050000_90.0000s_93.0000s.wav,King Rail
audio,MINI06_20250410_050000_93.0000s_96.0000s.wav,King Rail
audio,MINI06_20250410_050000_96.0000s_99.0000s.wav,King Rail
audio,MINI06_20250410_050000_99.0000s_102.0000s.wav,King Rail
audio,MINI06_20250410_050000_105.0000s_108.0000s.wav,King Rail
audio,MINI06_20250410_050000_108.0000s_111.0000s.wav,King Rail
audio,MINI06_20250410_050000_111.0000s_114.0000s.wav,King Rail
audio,MINI06_20250410_050000_117.0000s_120.0000s.wav,King Rail
audio,MINI06_20250410_050000_120.0000s_123.0000s.wav,King Rail
audio,MINI06_20250410_050000_123.0000s_126.0000s.wav,King Rail
audio,MINI06_20250410_050000_126.0000s_129.0000s.wav,King Rail
audio,MINI06_20250410_050000_129.0000s_132.0000s.wav,King Rail
audio,MINI06_20250410_050000_132.0000s_135.0000s.wav,King Rail
audio,MINI06_20250410_050000_141.0000s_144.0000s.wav,King Rail
audio,MINI06_20250410_050000_228.0000s_231.0000s.wav,Least Bittern
audio,MINI06_20250410_050000_231.0000s_234.0000s.wav,King Rail
audio,MINI06_20250410_050000_234.0000s_237.0000s.wav,King Rail
audio,MINI06_20250410_050000_237.0000s_240.0000s.wav,King Rail
audio,MINI06_20250410_050000_240.0000s_243.0000s.wav,King Rail
audio,MINI06_20250410_050000_243.0000s_246.0000s.wav,King Rail
audio,MINI06_20250410_050000_246.0000s_249.0000s.wav,King Rail
audio,MINI06_20250410_050000_249.0000s_252.0000s.wav,King Rail
audio,MINI06_20250410_050000_252.0000s_255.0000s.wav,Least Bittern
audio,MINI06_20250410_050000_258.0000s_261.0000s.wav,King Rail
audio,MINI06_20250410_050000_291.0000s_294.0000s.wav,King Rail
audio,MINI06_20250410_050000_294.0000s_297.0000s.wav,King Rail
audio,MINI06_20250410_050000_300.0000s_303.0000s.wav,King Rail
audio,MINI06_20250410_050000_303.0000s_306.0000s.wav,King Rail
audio,MINI06_20250410_050000_306.0000s_309.0000s.wav,King Rail
audio,MINI06_20250410_050000_309.0000s_312.0000s.wav,King Rail
audio,MINI06_20250410_050000_312.0000s_315.0000s.wav,King Rail
audio,MINI06_20250410_050000_315.0000s_318.0000s.wav,King Rail
audio,MINI06_20250410_050000_318.0000s_321.0000s.wav,King Rail
audio,MINI06_20250410_050000_321.0000s_324.0000s.wav,King Rail
audio,MINI06_20250410_050000_324.0000s_327.0000s.wav,King Rail
audio,MINI06_20250410_050000_327.0000s_330.0000s.wav,King Rail
audio,MINI06_20250410_050000_330.0000s_333.0000s.wav,King Rail
audio,MINI06_20250410_050000_333.0000s_336.0000s.wav,King Rail
audio,MINI06_20250410_050000_336.0000s_339.0000s.wav,King Rail
audio,MINI06_20250410_050000_339.0000s_342.0000s.wav,King Rail
audio,MINI06_20250410_050000_342.0000s_345.0000s.wav,King Rail
audio,MINI06_20250410_050000_345.0000s_348.0000s.wav,King Rail
audio,MINI06_20250410_050000_348.0000s_351.0000s.wav,King Rail
audio,MINI06_20250410_050000_351.0000s_354.0000s.wav,King Rail
audio,MINI06_20250410_050000_354.0000s_357.0000s.wav,King Rail
audio,MINI06_20250410_050000_360.0000s_363.0000s.wav,King Rail
audio,MINI06_20250410_050000_1017.0000s_1020.0000s.wav,King Rail
audio,MINI06_20250410_050000_1437.0000s_1440.0000s.wav,"Common Gallinule, King Rail"
audio,MINI06_20250410_060002_315.0000s_318.0000s.wav,American Bittern
audio,MINI06_20250410_060002_318.0000s_321.0000s.wav,King Rail
audio,MINI06_20250410_060002_357.0000s_360.0000s.wav,King Rail
audio,MINI06_20250410_060002_360.0000s_363.0000s.wav,King Rail
audio,MINI06_20250410_060002_363.0000s_366.0000s.wav,King Rail
